단지_일련번호,임대주택유형,공급기관명,주택명,주택유형,도로명주소,총세대수,10대미만(여자),10대미만(남자),10대(여자),10대(남자),20대(여자),20대(남자),30대(여자),30대(남자),40대(여자),40대(남자),50대(여자),50대(남자),60대(여자),60대(남자),70대(여자),70대(남자),80대(여자),80대(남자),90대(여자),90대(남자),100대(여자),100대(남자)
30699545,건설임대,LH대구경북,경산상방,아파트,경상북도 경산시 남매로6길 7,528,34,42,87,104,106,108,61,69,129,107,127,80,133,93,76,57,36,22,8,2,0,0
31251606,매입임대,LH대구경북,매입다가구(경북경산시),아파트,경상북도 경산시 대평길 8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30700650,매입임대,LH대구경북,매입다가구(경북경산시),다가구주택,경상북도 경산시 대평길1길 11,0,0,0,0,0,0,3,0,1,1,1,1,0,3,2,0,0,0,0,0,0,0,0
30700651,매입임대,LH대구경북,매입다가구(경북경산시),다가구주택,경상북도 경산시 둥지로10길 28,0,0,1,0,0,1,0,1,2,0,0,1,0,0,2,0,1,0,0,0,0,0,0
30700652,매입임대,LH대구경북,매입다가구(경북경산시),다가구주택,경상북도 경산시 둥지로21길 18-9,0,0,0,0,0,0,0,0,0,0,2,1,1,1,2,1,1,1,0,0,0,0,0
30700653,매입임대,LH대구경북,매입다가구(경북경산시),다가구주택,경상북도 경산시 백양로35길 2-13,0,0,2,1,3,2,1,1,0,1,3,1,4,1,1,2,2,1,1,0,0,0,0
30699712,건설임대,LH대구경북,경산사동 휴먼시아 1단지,아파트,경상북도 경산시 백자로10길 57,896,120,111,163,186,139,132,168,126,239,179,184,130,173,107,105,67,54,27,11,2,1,0
31194116,매입임대,LH대구경북,매입다가구(경북경산시),다가구주택,경상북도 경산시 선비길2길 42,0,0,0,0,4,0,1,0,0,3,2,3,1,2,1,0,2,0,0,0,0,0,0
30700802,매입임대(단지유형),LH대구경북,아름들이,다가구주택,경상북도 경산시 성암로3길 18,136,4,1,1,1,1,1,0,1,2,2,3,1,1,0,1,0,0,0,0,0,0,0
30700803,매입임대(단지유형),LH대구경북,아름들이,다가구주택,경상북도 경산시 성암로3길 20,136,2,2,2,6,2,3,1,0,5,3,2,3,0,0,1,0,0,1,0,0,0,0
30700804,매입임대(단지유형),LH대구경북,아름들이,다가구주택,경상북도 경산시 성암로3길 22,136,1,2,2,4,0,3,2,1,5,2,0,3,0,0,1,0,0,1,0,0,0,0
30700805,매입임대(단지유형),LH대구경북,아름들이,다가구주택,경상북도 경산시 성암로5길 21-1,136,0,2,2,1,0,0,1,1,4,3,2,2,2,2,0,1,1,0,0,0,0,0
30700806,매입임대(단지유형),LH대구경북,아름들이,다가구주택,경상북도 경산시 성암로5길 21-1,136,2,1,3,6,0,1,0,0,5,5,1,0,0,0,0,0,1,0,0,0,0,0
