hsmpSn,rtsSe,rtsInsttId,detailSn,rthousSe,rnAdres,houseTy,houseTyNm,hsmpNm,pnu,hshldCo,rnNm,atchFileId,suplyTy,suplyTyNm,insttDc,url,invntryAssetsAt,임대종류,준공일자,주택유형,건물형태,난방방식,승강기설치여부,공급면적(전용),공급면적(공용),임대보증금,임대료,전환보증금,x,y
31169572,2,B551452,Off,C,서울특별시 동대문구 답십리로 141,11,아파트,래미안미드카운티(답십리18구역),1.12301050010098e+18,172,답십리로141,XXX,3,50년임대,SH공사,http://www.i-sh.co.kr,Y,50년임대,2018-05-25,아파트,계단식,개별난방,전체동 설치,38.04,16.57,26980000,146000,0,37.5751778,127.0556523
31169572,2,B551452,Off,C,서울특별시 동대문구 답십리로 141,11,아파트,래미안미드카운티(답십리18구역),1.12301050010098e+18,172,답십리로141,XXX,3,50년임대,SH공사,http://www.i-sh.co.kr,Y,50년임대,2018-05-25,아파트,계단식,개별난방,전체동 설치,43.5,18.88,30830000,166000,0,37.5751778,127.0556523
31243209,2,B551452,Off,C,서울특별시 관악구 청룡10길 45,11,아파트,e편한세상 서울대입구(봉천12-2)_재건축,1.1620101001154e+18,47,청룡10길45,XXX,9,행복주택,SH공사,http://www.i-sh.co.kr,Y,행복주택,2019-06-25,아파트,복도식,개별난방,전체동 설치,59.96,22.19,103800000,424000,0,37.4779687,126.9435263
31243209,2,B551452,Off,C,서울특별시 관악구 청룡10길 45,11,아파트,e편한세상 서울대입구(봉천12-2)_재건축,1.1620101001154e+18,47,청룡10길45,XXX,9,행복주택,SH공사,http://www.i-sh.co.kr,Y,행복주택,2019-06-25,아파트,복도식,개별난방,전체동 설치,50.24,21.6,84700000,346000,0,37.4779687,126.9435263
31243209,2,B551452,Off,C,서울특별시 관악구 청룡10길 45,11,아파트,e편한세상 서울대입구(봉천12-2)_재건축,1.1620101001154e+18,47,청룡10길45,XXX,9,행복주택,SH공사,http://www.i-sh.co.kr,Y,행복주택,2019-06-25,아파트,복도식,개별난방,전체동 설치,59.9,22.18,103800000,424000,0,37.4779687,126.9435263
31243209,2,B551452,Off,C,서울특별시 관악구 청룡10길 45,11,아파트,e편한세상 서울대입구(봉천12-2)_재건축,1.1620101001154e+18,47,청룡10길45,XXX,9,행복주택,SH공사,http://www.i-sh.co.kr,Y,행복주택,2019-06-25,아파트,복도식,개별난방,전체동 설치,59.9,22.7,103800000,424000,0,37.4779687,126.9435263
31243209,2,B551452,Off,C,서울특별시 관악구 청룡10길 45,11,아파트,e편한세상 서울대입구(봉천12-2)_재건축,1.1620101001154e+18,47,청룡10길45,XXX,9,행복주택,SH공사,http://www.i-sh.co.kr,Y,행복주택,2019-06-25,아파트,복도식,개별난방,전체동 설치,59.88,22.71,103800000,424000,0,37.4779687,126.9435263
31243209,2,B551452,Off,C,서울특별시 관악구 청룡10길 45,11,아파트,e편한세상 서울대입구(봉천12-2)_재건축,1.1620101001154e+18,47,청룡10길45,XXX,9,행복주택,SH공사,http://www.i-sh.co.kr,Y,행복주택,2019-06-25,아파트,복도식,개별난방,전체동 설치,59.96,20.88,103800000,424000,0,37.4779687,126.9435263
31243209,2,B551452,Off,C,서울특별시 관악구 청룡10길 45,11,아파트,e편한세상 서울대입구(봉천12-2)_재건축,1.1620101001154e+18,47,청룡10길45,XXX,9,행복주택,SH공사,http://www.i-sh.co.kr,Y,행복주택,2019-06-25,아파트,복도식,개별난방,전체동 설치,59.96,22.02,103800000,424000,0,37.4779687,126.9435263
31243209,2,B551452,Off,C,서울특별시 관악구 청룡10길 45,11,아파트,e편한세상 서울대입구(봉천12-2)_재건축,1.1620101001154e+18,224,청룡10길45,XXX,3,50년임대,SH공사,http://www.i-sh.co.kr,Y,50년임대,2019-06-25,아파트,복도식,개별난방,전체동 설치,59.9,22.71,41040000,233700,0,37.4779687,126.9435263
