rn,hsmpSn,rtsSe,rtsInsttId,detailSn,rthousSe,rnAdres,houseTy,houseTyNm,hsmpNm,pnu,hshldCo,rnNm,atchFileId,suplyTy,suplyTyNm,insttDc,url,invntryAssetsAt,x,y
1247,30855344,01,D168369,Off,C,경기도 화성시 동탄순환대로24길 101,11,아파트,4단지,4159013100107220000,1547,동탄순환대로24길101,FLE00010084,02,국민임대,LH경기,http://www.lh.or.kr,Y,127.122870045269,37.2059356557888
1248,4181,04,3780000,Off,C,경기도 성남시 수정구 산성대로383번길 28,11,아파트,선경단대영구임대아파트,4113110400101880000,60,산성대로383번길28,XXX,01,영구임대,성남시,https://www.seongnam.go.kr/,Y,127.155473239238,37.4481674193993
1249,30699519,01,D168291,Off,C,경기도 포천시 소흘읍 태봉로 83,11,아파트,추산마을 주공5단지,4165025021107280010,466,태봉로83,FLE00005083,02,국민임대,LH서울,http://www.lh.or.kr,Y,127.138376814204,37.8256954241743
1250,30699860,01,D168369,Off,C,경기도 평택시 이충로35번길 51,11,아파트,반지마을 주공3단지,4122010900106800000,1035,이충로35번길51,FLE00005082,02,국민임대,LH경기,http://www.lh.or.kr,Y,127.06584272559,37.0570894564092
1251,30699874,01,D168369,Off,C,경기도 화성시 동탄원천로 338-10,11,아파트,능동마을 휴먼시아 7-1단지,4159011800110620000,682,동탄원천로338-10,XXX,02,국민임대,LH경기,http://www.lh.or.kr,Y,127.059395883072,37.2171547716838
1252,30700350,01,D168369,Off,C,경기도 안양시 동안구 동편로 120,11,아파트,동편마을1단지,4117310200116720000,1017,동편로120,FLE00010071,02,국민임대,LH경기,http://www.lh.or.kr,Y,126.968673475618,37.4113131301298
1253,30700365,01,D168341,Off,C,경기도 김포시 김포한강8로 331,11,아파트,솔터마을 김포한강LH2단지,4157010800106150001,1860,김포한강8로331,XXX,02,국민임대,LH인천,http://www.lh.or.kr,Y,126.632640058492,37.6433662704124
1254,30700607,01,D168341,Off,D,경기도 부천시 수도로 18,11,아파트,두산위브 트레지움아파트 1단지,4119010500101960000,56,수도로18,XXX,05,10년임대,LH인천,http://www.lh.or.kr,Y,126.768839975788,37.512461274337
1255,30699553,01,D168291,Off,C,경기도 양주시 고암길 252-36,11,아파트,조은마을 덕정6단지,4163011500105800000,977,고암길252-36,FLE00004924,02,국민임대,LH서울,http://www.lh.or.kr,Y,127.074101662348,37.8352200592894
1256,30699561,01,D168341,Off,C,경기도 고양시 일산동구 하늘마을1로 7,11,아파트,하늘마을 주공4단지,4128510200118020000,782,하늘마을1로7,FLE00004615,02,국민임대,LH인천,http://www.lh.or.kr,Y,126.786535882496,37.6751191083749
1257,30699570,01,D168341,Off,C,경기도 고양시 일산동구 숲속마을1로 29-15,11,아파트,풍동 숲속마을 주공1단지,4128510700112920000,1019,숲속마을1로29-15,FLE00006237,02,국민임대,LH인천,http://www.lh.or.kr,Y,126.798043631099,37.6637276765823
1258,30699573,01,D168291,Off,C,경기도 남양주시 퇴계원읍 도제원로 116,11,아파트,남양주 퇴계원 주공4단지,4136026521103660000,386,도제원로116,XXX,02,국민임대,LH서울,http://www.lh.or.kr,Y,127.145764655781,37.6583439202716
