rn,hsmpSn,rtsSe,rtsInsttId,detailSn,rthousSe,rnAdres,houseTy,houseTyNm,hsmpNm,pnu,hshldCo,rnNm,atchFileId,suplyTy,suplyTyNm,insttDc,url,invntryAssetsAt,x,y
11,31270661,01,D168483,Off,B,전라북도 전주시 덕진구 태진로 125-30,11,아파트,매입다가구(전북전주시),4511310700116390001,1,태진로125-30,XXX,04,매입임대,LH전북,http://www.lh.or.kr,Y,127.133907709631,35.8332959666461
12,31270664,01,D168483,Off,B,전라북도 전주시 덕진구 여산로 253,11,아파트,매입다가구(전북전주시),4511312900112240000,1,여산로253,XXX,04,매입임대,LH전북,http://www.lh.or.kr,Y,127.08445851569,35.8748258829651
13,31270668,01,D168483,Off,B,전라북도 전주시 덕진구 쪽구름2길 9,11,아파트,매입다가구(전북전주시),4511312300112310000,1,쪽구름2길9,XXX,04,매입임대,LH전북,http://www.lh.or.kr,Y,127.075747963782,35.8737845738138
14,31270671,01,D168483,Off,B,전라북도 전주시 완산구 모악로 4651,11,아파트,매입다가구(전북전주시),4511113300104570004,1,모악로4651,XXX,04,매입임대,LH전북,http://www.lh.or.kr,Y,127.128175044634,35.7855548411932
15,31270673,01,D168483,Off,B,전라북도 전주시 덕진구 가련산로 24,11,아파트,매입다가구(전북전주시),4511310600106960000,1,가련산로24,XXX,04,매입임대,LH전북,http://www.lh.or.kr,Y,127.112022522643,35.8408305848877
16,31270697,01,D168483,Off,B,전라북도 전주시 덕진구 여산로 253,11,아파트,매입다가구(전북전주시),4511312900112240000,1,여산로253,XXX,04,매입임대,LH전북,http://www.lh.or.kr,Y,127.08445851569,35.8748258829651
17,31270699,01,D168483,Off,B,전라북도 전주시 덕진구 쪽구름로 111,11,아파트,매입다가구(전북전주시),4511312300112320000,1,쪽구름로111,XXX,04,매입임대,LH전북,http://www.lh.or.kr,Y,127.07321070017,35.8738232904716
18,31270712,01,D168483,Off,B,전라북도 전주시 완산구 양지3길 25,11,아파트,매입다가구(전북전주시),4511113300109530000,1,양지3길25,XXX,04,매입임대,LH전북,http://www.lh.or.kr,Y,127.118512769013,35.7896594119416
19,31270715,01,D168483,Off,B,전라북도 전주시 덕진구 가련산로 24,11,아파트,매입다가구(전북전주시),4511310600106960000,1,가련산로24,XXX,04,매입임대,LH전북,http://www.lh.or.kr,Y,127.112022522643,35.8408305848877
20,31270730,01,D168483,Off,B,전라북도 전주시 덕진구 백동2길 11,11,아파트,매입다가구(전북전주시),4511310400115610001,1,백동2길11,XXX,04,매입임대,LH전북,http://www.lh.or.kr,Y,127.147833996485,35.8462690960599
21,31270731,01,D168483,Off,B,전라북도 전주시 덕진구 하가로 10,11,아파트,매입다가구(전북전주시),4511310600107270000,1,하가로10,XXX,04,매입임대,LH전북,http://www.lh.or.kr,Y,127.111927360931,35.8431173109677
22,31270779,01,D168483,Off,B,전라북도 전주시 덕진구 쪽구름로 111,11,아파트,매입다가구(전북전주시),4511312300112320000,1,쪽구름로111,XXX,04,매입임대,LH전북,http://www.lh.or.kr,Y,127.07321070017,35.8738232904716
